"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"Setting1",30,"results_30.rds","evaluation_3","A2_bias_1",-0.19976692982904,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A2_bias_2",-0.398345792612523,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A1_bias_1",0.344008429370961,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A1_bias_2",0.363283329656593,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A1_bias_3",0.552598594761123,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A1A3_bias",-0.262388358035412,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A1A2_bias_1",-0.170925516389038,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A1A2_bias_2",-0.372813570152358,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","M",0,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","M_weighted",0.542857142857143,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A3_bias",-0.342207298385659,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A2_bias_1",-0.242753304544741,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A2_bias_2",-0.371019971901242,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A1_bias_1",0.09329952191583,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A1_bias_2",0.112574422201463,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A1_bias_3",0.715485419544362,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A1A3_bias",-0.253180216164215,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A1A2_bias_1",-0.3245519517102,NA,1
"Setting1",30,"results_30.rds","evaluation_3_mis","A1A2_bias_2",-0.363605428281161,NA,1
"Setting1",30,"results_30.rds","evaluation_4","M",0,NA,1
"Setting1",30,"results_30.rds","evaluation_4","M_weighted",0.542857142857143,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A3_bias",-0.262458681377163,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A2_bias_1",-0.118742641717773,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A2_bias_2",-0.341326970056265,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A1_bias_1",0.446593492546998,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A1_bias_2",0.441836518115111,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A1_bias_3",0.386534981450735,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A1A3_bias",-0.222668016100923,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A1A2_bias_1",-0.0895045784600218,NA,1
"Setting1",30,"results_30.rds","evaluation_4","A1A2_bias_2",-0.307069487771917,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","M",0,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","M_weighted",0.542857142857143,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A3_bias",-0.283271746472739,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A2_bias_1",-0.159600008809212,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A2_bias_2",-0.189884179047014,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A1_bias_1",0.315764830273647,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A1_bias_2",0.201556938525843,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A1_bias_3",0.394127326724594,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A1A3_bias",-0.228246582009196,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A1A2_bias_1",-0.1745787459798,NA,1
"Setting1",30,"results_30.rds","evaluation_4_mis","A1A2_bias_2",-0.184014217956739,NA,1
"Setting1",300,"results_300.rds","evaluation_1","M",0.935633333333333,0.0759789194661152,200
"Setting1",300,"results_300.rds","evaluation_1","M_weighted",0.971096387368796,0.0341833034081522,200
"Setting1",300,"results_300.rds","evaluation_1","A3_bias",0.00555281791422361,0.0831570978854099,200
"Setting1",300,"results_300.rds","evaluation_1","A2_bias_1",-0.00327043353377027,0.0966342173783842,200
"Setting1",300,"results_300.rds","evaluation_1","A2_bias_2",0.0187991285914964,0.111456203952362,200
"Setting1",300,"results_300.rds","evaluation_1","A1_bias_1",-0.0106819906734765,0.0803197935956647,200
"Setting1",300,"results_300.rds","evaluation_1","A1_bias_2",-0.0353107128973592,0.10860335260149,200
"Setting1",300,"results_300.rds","evaluation_1","A1_bias_3",-0.0126654846500967,0.0880980304812723,200
"Setting1",300,"results_300.rds","evaluation_1","A1A3_bias",0.00943118443499375,0.0648523117640661,200
"Setting1",300,"results_300.rds","evaluation_1","A1A2_bias_1",0.0011617607330316,0.0826495345512153,200
"Setting1",300,"results_300.rds","evaluation_1","A1A2_bias_2",-0.0193719622673724,0.114916424903723,200
"Setting1",300,"results_300.rds","evaluation_2","M",0.93065,0.0759784105660185,200
"Setting1",300,"results_300.rds","evaluation_2","M_weighted",0.968869260232585,0.0341400197392698,200
"Setting1",300,"results_300.rds","evaluation_2","A3_bias",0.00631930181467072,0.0818740358463964,200
"Setting1",300,"results_300.rds","evaluation_2","A2_bias_1",-0.00470786007472124,0.0967396873888082,200
"Setting1",300,"results_300.rds","evaluation_2","A2_bias_2",0.0174956204178547,0.102745645807302,200
"Setting1",300,"results_300.rds","evaluation_2","A1_bias_1",-0.0355319301548156,0.0851144029180892,200
"Setting1",300,"results_300.rds","evaluation_2","A1_bias_2",-0.00519711671687009,0.103356921763629,200
"Setting1",300,"results_300.rds","evaluation_2","A1_bias_3",-0.016383766687187,0.0886479993595952,200
"Setting1",300,"results_300.rds","evaluation_2","A1A3_bias",0.0144537416392841,0.0660122485913816,200
"Setting1",300,"results_300.rds","evaluation_2","A1A2_bias_1",-0.0144900631197029,0.0837563875028661,200
"Setting1",300,"results_300.rds","evaluation_2","A1A2_bias_2",-0.0259164391576174,0.102802915187503,200
"Setting1",300,"results_300.rds","evaluation_2_mis","M",0.935283333333333,0.0746907097417056,200
"Setting1",300,"results_300.rds","evaluation_2_mis","M_weighted",0.970950074699448,0.0336036750100561,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A3_bias",0.0061949590380563,0.0817011276249928,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A2_bias_1",-0.00446980282852311,0.096636494544312,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A2_bias_2",0.0167013552210627,0.108059608007276,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A1_bias_1",-0.0380115340012093,0.0876636567159602,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A1_bias_2",-0.0401589541036417,0.103416903338469,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A1_bias_3",0.000218153706196728,0.0892746742839191,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A1A3_bias",0.0111939882771775,0.0650088331477155,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A1A2_bias_1",-0.0158109466842709,0.0866711481456069,200
"Setting1",300,"results_300.rds","evaluation_2_mis","A1A2_bias_2",-0.0209199632015051,0.108221977281127,200
"Setting1",300,"results_300.rds","evaluation_3","M",0.930516666666667,0.0715498814730335,200
"Setting1",300,"results_300.rds","evaluation_3","M_weighted",0.968870596522532,0.0320918106731446,200
"Setting1",300,"results_300.rds","evaluation_3","A3_bias",0.0312597645303862,0.0855695717691189,200
"Setting1",300,"results_300.rds","evaluation_3","A2_bias_1",-0.00621881628202332,0.0963889799123902,200
"Setting1",300,"results_300.rds","evaluation_3","A2_bias_2",0.00366413415797908,0.0855695717691189,200
"Setting1",300,"results_300.rds","evaluation_3","A1_bias_1",-0.0629359989981989,0.0824154492419105,200
